MONTH,DAY_OF_WEEK,FL_DATE,ORIGIN_AIRPORT_ID,ORIGIN_AIRPORT_SEQ_ID,ORIGIN_CITY_MARKET_ID,DEST_AIRPORT_ID,DEST_AIRPORT_SEQ_ID,DEST_CITY_MARKET_ID,DEP_DELAY,ARR_DELAY,DISTANCE
1,6,1/23/2021 12:00:00 AM,11292,1129202,30325,14122,1412202,30198,17.00,2.00,1290.00
1,6,1/23/2021 12:00:00 AM,11292,1129202,30325,14262,1426204,34262,-3.00,-21.00,776.00
1,6,1/23/2021 12:00:00 AM,11292,1129202,30325,14570,1457002,34570,-5.00,-12.00,804.00
1,6,1/23/2021 12:00:00 AM,11292,1129202,30325,14635,1463502,31714,-5.00,-26.00,1607.00
1,6,1/23/2021 12:00:00 AM,11292,1129202,30325,14679,1467903,33570,32.00,20.00,853.00
1,6,1/23/2021 12:00:00 AM,11292,1129202,30325,14679,1467903,33570,-5.00,-8.00,853.00
1,6,1/23/2021 12:00:00 AM,11292,1129202,30325,14679,1467903,33570,-5.00,-20.00,853.00
1,6,1/23/2021 12:00:00 AM,11292,1129202,30325,14683,1468305,33214,0.00,-4.00,794.00
1,6,1/23/2021 12:00:00 AM,11292,1129202,30325,14747,1474703,30559,1.00,-15.00,1024.00
1,6,1/23/2021 12:00:00 AM,11292,1129202,30325,14747,1474703,30559,0.00,-23.00,1024.00
1,6,1/23/2021 12:00:00 AM,11292,1129202,30325,14771,1477104,32457,-4.00,-25.00,967.00
1,6,1/23/2021 12:00:00 AM,11292,1129202,30325,14771,1477104,32457,-5.00,-25.00,967.00
1,6,1/23/2021 12:00:00 AM,11292,1129202,30325,14831,1483106,32457,-6.00,-23.00,948.00
1,6,1/23/2021 12:00:00 AM,11292,1129202,30325,14831,1483106,32457,-3.00,-14.00,948.00
1,6,1/23/2021 12:00:00 AM,11292,1129202,30325,14869,1486903,34614,54.00,59.00,391.00
1,6,1/23/2021 12:00:00 AM,11292,1129202,30325,14869,1486903,34614,-5.00,-24.00,391.00
1,6,1/23/2021 12:00:00 AM,11292,1129202,30325,14869,1486903,34614,0.00,-12.00,391.00
1,6,1/23/2021 12:00:00 AM,11292,1129202,30325,14893,1489302,33192,-5.00,-24.00,909.00
1,6,1/23/2021 12:00:00 AM,11292,1129202,30325,14893,1489302,33192,-4.00,-17.00,909.00
1,6,1/23/2021 12:00:00 AM,11292,1129202,30325,14893,1489302,33192,1.00,-9.00,909.00
1,6,1/23/2021 12:00:00 AM,11292,1129202,30325,14908,1490803,32575,-5.00,-16.00,846.00
1,6,1/23/2021 12:00:00 AM,11292,1129202,30325,14908,1490803,32575,-2.00,-13.00,846.00
1,6,1/23/2021 12:00:00 AM,11292,1129202,30325,15016,1501606,31123,-3.00,-23.00,770.00
1,6,1/23/2021 12:00:00 AM,11292,1129202,30325,15016,1501606,31123,-10.00,-31.00,770.00
1,6,1/23/2021 12:00:00 AM,11292,1129202,30325,15016,1501606,31123,0.00,-20.00,770.00
1,6,1/23/2021 12:00:00 AM,11292,1129202,30325,15304,1530402,33195,28.00,10.00,1506.00
1,6,1/23/2021 12:00:00 AM,11292,1129202,30325,15370,1537002,34653,22.00,8.00,541.00
1,6,1/23/2021 12:00:00 AM,11292,1129202,30325,15376,1537604,30436,5.00,-3.00,639.00
